id,ticker,trade_date,close_price
4415,SPY,2023-12-29,462.58
4416,SPY,2024-01-02,459.9912
4417,SPY,2024-01-03,456.2346
4418,SPY,2024-01-04,454.765
4419,SPY,2024-01-05,455.3879
4420,SPY,2024-01-08,461.8889
4421,SPY,2024-01-09,461.1883
4422,SPY,2024-01-10,463.7965
4423,SPY,2024-01-11,463.5921
4424,SPY,2024-01-12,463.9133
4425,SPY,2024-01-16,462.2102
4426,SPY,2024-01-17,459.6409
4427,SPY,2024-01-18,463.7284
4428,SPY,2024-01-19,469.5093
4429,SPY,2024-01-22,470.502
4430,SPY,2024-01-23,471.8742
4431,SPY,2024-01-24,472.39
4432,SPY,2024-01-25,474.9593
4433,SPY,2024-01-26,474.3559
4434,SPY,2024-01-29,478.1125
4435,SPY,2024-01-30,477.7427
4436,SPY,2024-01-31,469.9472
4437,SPY,2024-02-01,476.098
4438,SPY,2024-02-02,481.11
4439,SPY,2024-02-05,479.3583
4440,SPY,2024-02-06,480.7499
4441,SPY,2024-02-07,484.7596
4442,SPY,2024-02-08,484.9737
4443,SPY,2024-02-09,487.7766
4444,SPY,2024-02-12,487.5624
4445,SPY,2024-02-13,480.8473
4446,SPY,2024-02-14,485.217
4447,SPY,2024-02-15,488.5649
4448,SPY,2024-02-16,486.1319
4449,SPY,2024-02-20,483.4555
4450,SPY,2024-02-21,483.8934
4451,SPY,2024-02-22,493.9079
4452,SPY,2024-02-23,494.2484
4453,SPY,2024-02-26,492.4383
4454,SPY,2024-02-27,493.3531
4455,SPY,2024-02-28,492.701
4456,SPY,2024-02-29,494.4723
4457,SPY,2024-03-01,499.1145
4458,SPY,2024-03-04,498.5793
4459,SPY,2024-03-05,493.5964
4460,SPY,2024-03-06,496.0976
4461,SPY,2024-03-07,501.022
4462,SPY,2024-03-08,498.0148
4463,SPY,2024-03-11,497.5866
4464,SPY,2024-03-12,502.9394
4465,SPY,2024-03-13,502.1509
4466,SPY,2024-03-14,501.1583
4467,SPY,2024-03-15,497.717
4468,SPY,2024-03-18,500.675
4469,SPY,2024-03-19,503.4574
4470,SPY,2024-03-20,508.114
4471,SPY,2024-03-21,509.7932
4472,SPY,2024-03-22,508.8267
4473,SPY,2024-03-25,507.421
4474,SPY,2024-03-26,506.4838
4475,SPY,2024-03-27,510.7401
4476,SPY,2024-03-28,510.6425
4477,SPY,2024-04-01,509.7541
4478,SPY,2024-04-02,506.5131
4479,SPY,2024-04-03,507.0695
4480,SPY,2024-04-04,500.8801
4481,SPY,2024-04-05,506.1127
4482,SPY,2024-04-08,506.3958
4483,SPY,2024-04-09,506.9816
4484,SPY,2024-04-10,501.9051
4485,SPY,2024-04-11,505.693
4486,SPY,2024-04-12,498.7128
4487,SPY,2024-04-15,492.4649
4488,SPY,2024-04-16,491.5667
4489,SPY,2024-04-17,488.6575
4490,SPY,2024-04-18,487.652
4491,SPY,2024-04-19,483.3956
4492,SPY,2024-04-22,487.8473
4493,SPY,2024-04-23,493.6364
4494,SPY,2024-04-24,493.4021
4495,SPY,2024-04-25,491.5277
4496,SPY,2024-04-26,496.1844
4497,SPY,2024-04-29,497.9416
4498,SPY,2024-04-30,490.0536
4499,SPY,2024-05-01,488.4623
4500,SPY,2024-05-02,493.0311
4501,SPY,2024-05-03,499.1424
4502,SPY,2024-05-06,504.2969
4503,SPY,2024-05-07,504.8534
4504,SPY,2024-05-08,504.9021
4505,SPY,2024-05-09,507.8113
4506,SPY,2024-05-10,508.4655
4507,SPY,2024-05-13,508.5338
4508,SPY,2024-05-14,510.867
4509,SPY,2024-05-15,517.1931
4510,SPY,2024-05-16,516.129
4511,SPY,2024-05-17,516.8709
4512,SPY,2024-05-20,517.4664
4513,SPY,2024-05-21,518.7356
4514,SPY,2024-05-22,517.2419
4515,SPY,2024-05-23,513.4639
4516,SPY,2024-05-24,516.8612
4517,SPY,2024-05-28,517.2224
4518,SPY,2024-05-29,513.6005
4519,SPY,2024-05-30,510.1935
4520,SPY,2024-05-31,514.8403
4521,SPY,2024-06-03,515.2601
4522,SPY,2024-06-04,515.8361
4523,SPY,2024-06-05,521.9669
4524,SPY,2024-06-06,521.9572
4525,SPY,2024-06-07,521.3226
4526,SPY,2024-06-10,522.9334
4527,SPY,2024-06-11,524.1927
4528,SPY,2024-06-12,528.4979
4529,SPY,2024-06-13,529.5621
4530,SPY,2024-06-14,529.8843
4531,SPY,2024-06-17,534.1016
4532,SPY,2024-06-18,535.4586
4533,SPY,2024-06-20,534.004
4534,SPY,2024-06-21,533.288
4535,SPY,2024-06-24,531.5545
4536,SPY,2024-06-25,533.6015
4537,SPY,2024-06-26,534.2673
4538,SPY,2024-06-27,535.1097
4539,SPY,2024-06-28,533.004
4540,SPY,2024-07-01,534.101
4541,SPY,2024-07-02,537.6953
4542,SPY,2024-07-03,540.0948
4543,SPY,2024-07-05,543.2093
4544,SPY,2024-07-08,543.8361
4545,SPY,2024-07-09,544.3649
4546,SPY,2024-07-10,549.7516
4547,SPY,2024-07-11,545.0114
4548,SPY,2024-07-12,548.449
4549,SPY,2024-07-15,549.9573
4550,SPY,2024-07-16,553.2185
4551,SPY,2024-07-17,545.4619
4552,SPY,2024-07-18,541.27
4553,SPY,2024-07-19,537.6757
4554,SPY,2024-07-22,543.2191
4555,SPY,2024-07-23,542.367
4556,SPY,2024-07-24,530.0756
4557,SPY,2024-07-25,527.3137
4558,SPY,2024-07-26,533.2194
4559,SPY,2024-07-29,533.5328
4560,SPY,2024-07-30,530.8298
4561,SPY,2024-07-31,539.4583
4562,SPY,2024-08-01,531.819
4563,SPY,2024-08-02,521.9174
4564,SPY,2024-08-05,506.7172
4565,SPY,2024-08-06,511.3889
4566,SPY,2024-08-07,507.9708
4567,SPY,2024-08-08,519.7137
4568,SPY,2024-08-09,522.0055
4569,SPY,2024-08-12,522.2797
4570,SPY,2024-08-13,530.869
4571,SPY,2024-08-14,532.5437
4572,SPY,2024-08-15,541.6716
4573,SPY,2024-08-16,542.8861
4574,SPY,2024-08-19,548.0768
4575,SPY,2024-08-20,547.1856
4576,SPY,2024-08-21,549.0661
4577,SPY,2024-08-22,544.7567
4578,SPY,2024-08-23,550.5449
4579,SPY,2024-08-26,549.2325
4580,SPY,2024-08-27,549.9866
4581,SPY,2024-08-28,546.7938
4582,SPY,2024-08-29,546.8428
4583,SPY,2024-08-30,552.063
4584,SPY,2024-09-03,540.702
4585,SPY,2024-09-04,539.5953
4586,SPY,2024-09-05,538.283
4587,SPY,2024-09-06,529.2236
4588,SPY,2024-09-09,535.1488
4589,SPY,2024-09-10,537.4798
4590,SPY,2024-09-11,542.9938
4591,SPY,2024-09-12,547.5675
4592,SPY,2024-09-13,550.4274
4593,SPY,2024-09-16,551.2403
4594,SPY,2024-09-17,551.4656
4595,SPY,2024-09-18,549.83
4596,SPY,2024-09-19,559.2125
4597,SPY,2024-09-20,558.2458
4598,SPY,2024-09-23,559.6408
4599,SPY,2024-09-24,561.2421
4600,SPY,2024-09-25,560.0042
4601,SPY,2024-09-26,562.2245
4602,SPY,2024-09-27,561.4091
4603,SPY,2024-09-30,563.6589
4604,SPY,2024-10-01,558.6093
4605,SPY,2024-10-02,558.8451
4606,SPY,2024-10-03,557.8233
4607,SPY,2024-10-04,562.8925
4608,SPY,2024-10-07,557.8036
4609,SPY,2024-10-08,563.0792
